PHASE 4: FOLDER REDESIGN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Folder Path,Folder Name,Depth Level,Parent Folder,
"/content/dam/securian/web-assets/supporting/charts-&-graphs, (crxde, html, json)",charts-&-graphs,4,/content/dam/securian/web-assets/supporting,"/content/dam/securian/web-assets/supporting/charts-&-graphs, (crxde, html, json)"
"/content/dam/securian/web-assets/supporting, (crxde, html, json)",supporting,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/supporting, (crxde, html, json)"
"/content/dam/securian/web-assets/cta/image-content-block, (crxde, html, json)",image-content-block,4,/content/dam/securian/web-assets/cta,"/content/dam/securian/web-assets/cta/image-content-block, (crxde, html, json)"
"/content/dam/securian/web-assets/cta/icon-block, (crxde, html, json)",icon-block,4,/content/dam/securian/web-assets/cta,"/content/dam/securian/web-assets/cta/icon-block, (crxde, html, json)"
"/content/dam/securian/web-assets/cta/separated-block, (crxde, html, json)",separated-block,4,/content/dam/securian/web-assets/cta,"/content/dam/securian/web-assets/cta/separated-block, (crxde, html, json)"
"/content/dam/securian/web-assets/cta, (crxde, html, json)",cta,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/cta, (crxde, html, json)"
"/content/dam/securian/web-assets/brand/campaign, (crxde, html, json)",campaign,4,/content/dam/securian/web-assets/brand,"/content/dam/securian/web-assets/brand/campaign, (crxde, html, json)"
"/content/dam/securian/web-assets/brand/social, (crxde, html, json)",social,4,/content/dam/securian/web-assets/brand,"/content/dam/securian/web-assets/brand/social, (crxde, html, json)"
"/content/dam/securian/web-assets/brand/affiliates, (crxde, html, json)",affiliates,4,/content/dam/securian/web-assets/brand,"/content/dam/securian/web-assets/brand/affiliates, (crxde, html, json)"
"/content/dam/securian/web-assets/brand/favicons, (crxde, html, json)",favicons,4,/content/dam/securian/web-assets/brand,"/content/dam/securian/web-assets/brand/favicons, (crxde, html, json)"
"/content/dam/securian/web-assets/brand/touch-icons, (crxde, html, json)",touch-icons,4,/content/dam/securian/web-assets/brand,"/content/dam/securian/web-assets/brand/touch-icons, (crxde, html, json)"
"/content/dam/securian/web-assets/brand, (crxde, html, json)",brand,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/brand, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/supporting/illustrations, (crxde, html, json)",illustrations,5,/content/dam/securian/web-assets/minimum-rebrand/supporting,"/content/dam/securian/web-assets/minimum-rebrand/supporting/illustrations, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/supporting/photos, (crxde, html, json)",photos,5,/content/dam/securian/web-assets/minimum-rebrand/supporting,"/content/dam/securian/web-assets/minimum-rebrand/supporting/photos, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/supporting/charts-&-graphs, (crxde, html, json)",charts-&-graphs,5,/content/dam/securian/web-assets/minimum-rebrand/supporting,"/content/dam/securian/web-assets/minimum-rebrand/supporting/charts-&-graphs, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/supporting, (crxde, html, json)",supporting,4,/content/dam/securian/web-assets/minimum-rebrand,"/content/dam/securian/web-assets/minimum-rebrand/supporting, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/cta/image-content-block, (crxde, html, json)",image-content-block,5,/content/dam/securian/web-assets/minimum-rebrand/cta,"/content/dam/securian/web-assets/minimum-rebrand/cta/image-content-block, (crxde, html, json)"
